date,kind,area,deposit,rent,floor,contract,renewal
2025-01-03,전세,54.7000,35000,0,9,신규,-
2025-01-03,전세,79.8700,37485,0,2,신규,-
2025-01-04,전세,79.8700,41000,0,8,신규,-
2025-01-17,전세,79.8700,40000,0,11,신규,-
2025-01-24,전세,54.7000,31500,0,5,신규,-
2025-01-24,전세,54.7000,37500,0,14,신규,-
2025-01-24,전세,54.7000,37500,0,14,신규,-
2025-01-24,전세,54.7000,31500,0,5,신규,-
2025-02-10,전세,54.7000,36000,0,2,신규,-
2025-02-10,전세,54.7000,36000,0,2,신규,-
2025-02-10,전세,54.7000,36000,0,2,신규,-
2025-02-10,전세,54.7000,36000,0,2,신규,-
2025-02-13,전세,54.7000,36000,0,10,신규,-
2025-02-20,월세,54.7000,10000,120,4,신규,-
2025-02-28,월세,79.8700,28000,60,1,신규,-
2025-03-07,월세,79.8700,15000,130,2,신규,-
2025-03-08,월세,54.7000,4000,120,1,신규,-
2025-03-15,전세,79.8700,44000,0,13,신규,-
2025-03-15,전세,54.7000,33000,0,2,신규,-
2025-03-25,전세,54.7000,31000,0,10,신규,-
2025-04-02,전세,54.7000,33000,0,3,신규,-
2025-04-07,전세,54.7000,31500,0,13,신규,-
2025-04-08,월세,79.8700,10000,130,3,신규,-
2025-04-12,전세,54.7000,38000,0,10,신규,-
2025-04-17,전세,79.8700,46000,0,11,신규,-
2025-04-23,월세,106.6200,25000,110,1,신규,-
2025-04-23,월세,54.7000,5000,100,4,신규,-
2025-04-25,월세,54.7000,8000,150,7,신규,-
2025-04-25,월세,54.7000,8000,105,7,신규,-
2025-04-25,월세,54.7000,8000,105,7,신규,-
2025-04-25,월세,54.7000,8000,150,7,신규,-
2025-05-02,전세,79.8700,38000,0,13,신규,-
2025-05-02,전세,79.8700,38000,0,13,신규,-
2025-05-10,월세,54.7000,10000,110,8,신규,-
2025-05-26,월세,54.7000,3000,99,6,신규,-
2025-06-10,월세,79.8700,7000,130,13,신규,-
2025-07-02,월세,54.7000,30000,33,11,신규,-
2025-07-13,전세,54.7000,32500,0,6,신규,-
2025-07-19,월세,79.8700,10000,140,3,신규,-
2025-07-19,월세,79.8700,10000,140,3,신규,-
2025-07-31,전세,54.7000,35000,0,5,신규,-
2025-08-28,전세,54.7000,33500,0,13,신규,-
2025-09-15,전세,54.7000,33500,0,5,신규,-
2025-10-11,전세,54.7000,36000,0,7,신규,-
2025-10-11,전세,54.7000,36000,0,7,신규,-
2025-10-13,월세,79.8700,5000,180,11,신규,-
2025-10-13,월세,79.8700,5000,180,11,신규,-
2025-10-22,전세,54.7000,40000,0,7,신규,-
2025-11-09,월세,79.8700,5000,200,10,신규,-
2025-12-03,전세,106.6200,60000,0,12,신규,-
2025-12-06,월세,79.8700,10000,180,5,신규,-
2025-12-20,전세,54.7000,38000,0,3,신규,-
2025-12-30,월세,106.6200,15000,150,5,신규,-
2026-01-08,전세,54.7000,27560,0,7,신규,-
2026-01-09,전세,54.7000,34000,0,9,신규,-
2026-01-17,월세,79.8700,15000,130,2,신규,-
2026-02-01,전세,106.6200,43650,0,13,신규,-
2026-02-07,전세,54.7000,38000,0,4,신규,-
2026-02-14,월세,79.8700,35000,60,11,신규,-
2026-03-06,전세,79.8700,46000,0,12,신규,-
2026-03-07,전세,79.8700,43000,0,11,신규,-
2026-03-21,월세,79.8700,3000,170,13,신규,-
2026-03-27,월세,54.7000,5000,150,6,신규,-
2026-04-04,전세,79.8700,53000,0,7,신규,-
2026-04-04,전세,79.8700,53000,0,7,신규,-
2026-04-04,월세,79.8700,15000,150,10,신규,-
2026-04-06,전세,54.7000,34650,0,3,신규,-
2026-04-09,전세,54.7000,47000,0,10,신규,-
2026-04-09,전세,54.7000,47000,0,10,신규,-
2026-04-26,전세,54.7000,36000,0,2,신규,-
2026-05-16,월세,54.7000,13000,80,8,신규,-
2026-05-19,월세,106.6200,35000,100,1,신규,-
2026-05-26,전세,54.7000,33000,0,5,신규,-
2026-05-27,전세,54.7000,42000,0,4,신규,-
2026-06-24,월세,79.8700,10000,150,12,신규,-
2026-07-06,전세,79.8700,55000,0,10,신규,-
2026-07-06,전세,54.7000,45000,0,8,신규,-
2026-07-11,월세,54.7000,3000,150,6,신규,-
2026-07-15,전세,54.7000,42000,0,10,신규,-
2026-08-01,전세,79.8700,58000,0,4,신규,-
2026-08-03,전세,79.8700,37000,0,4,신규,-
2026-08-25,전세,54.7000,45000,0,13,신규,-
2026-08-27,전세,54.7000,45000,0,11,신규,-
2026-09-12,월세,54.7000,20000,50,5,신규,-
2026-09-16,월세,79.8700,15000,140,2,신규,-
