date,pyeong,area,price,floor,dong,include,note
2017-01-16,21,54.7,30000,13,,1,
2017-01-16,30,79.87,41000,9,,1,
2017-02-08,21,54.7,32700,12,,1,
2017-02-11,21,54.7,33500,8,,1,
2017-02-15,30,79.87,43000,7,,1,
2017-02-19,30,79.87,39400,12,,1,
2017-02-22,30,79.87,38900,9,,1,
2017-02-27,30,79.87,42500,6,,1,
2017-03-07,30,79.87,38000,5,,1,
2017-04-03,30,79.87,42900,10,,1,
2017-04-04,30,79.87,41200,6,,1,
2017-04-23,38,106.62,45000,13,,1,
2017-04-27,30,79.87,41500,2,,1,
2017-04-28,21,54.7,35000,14,,1,
2017-05-05,21,54.7,32400,2,,1,
2017-05-09,21,54.7,34700,14,,1,
2017-05-13,21,54.7,33800,4,,1,
2017-05-13,21,54.7,33900,9,,1,
2017-05-16,21,54.7,34500,9,,1,
2017-05-17,21,54.7,36000,12,,1,
2017-05-20,30,79.87,42500,14,,1,
2017-05-22,30,79.87,43000,5,,1,
2017-06-06,30,79.87,43000,5,,1,
2017-06-17,21,54.7,34500,14,,1,
2017-06-24,30,79.87,43000,11,,1,
2017-06-26,38,106.62,47800,13,,1,
2017-06-27,30,79.87,43000,10,,1,
2017-07-05,21,54.7,34300,5,,1,
2017-07-06,30,79.87,40900,2,,1,
2017-07-10,30,79.87,45000,4,,1,
2017-07-11,38,106.62,53000,13,,1,
2017-07-17,30,79.87,44500,2,,1,
2017-07-20,30,79.87,43000,10,,1,
2017-07-22,21,54.7,36950,8,,1,
2017-07-25,38,106.62,51500,3,,1,
2017-07-28,30,79.87,43000,5,,1,
2017-07-31,21,54.7,33000,2,,1,
2017-08-01,30,79.87,43500,7,,1,
2017-08-02,30,79.87,44500,7,,1,
2017-08-03,21,54.7,32250,1,,1,
2017-08-03,30,79.87,45900,10,,1,
2017-08-26,30,79.87,47800,8,,1,
2017-08-31,21,54.7,36800,11,,1,
2017-09-05,21,54.7,37600,12,,1,
2017-09-15,21,54.7,37900,9,,1,
2017-09-23,21,54.7,39600,12,,1,
2017-09-30,30,79.87,45600,3,,1,
2017-10-14,21,54.7,38800,10,,1,
2017-11-17,38,106.62,54000,12,,1,
2017-12-09,30,79.87,44950,2,,1,
2017-12-14,21,54.7,38800,13,,1,
2017-12-17,30,79.87,46800,10,,1,
2017-12-21,30,79.87,46300,3,,1,
2018-01-05,21,54.7,39500,8,,1,
2018-01-05,30,79.87,46000,3,,1,
2018-01-06,21,54.7,38000,3,,1,
2018-01-20,21,54.7,39900,5,,1,
2018-01-27,30,79.87,46000,14,,1,
2018-01-27,30,79.87,44800,3,,1,
2018-02-02,21,54.7,40500,5,,1,
2018-02-03,21,54.7,40600,5,,1,
2018-02-07,30,79.87,47000,13,,1,
2018-02-12,30,79.87,45500,7,,1,
2018-02-14,30,79.87,47000,14,,1,
2018-02-24,21,54.7,39000,3,,1,
2018-02-27,38,106.62,57500,11,,1,
2018-03-08,21,54.7,40000,4,,1,
2018-03-26,30,79.87,51900,11,,1,
2018-04-21,30,79.87,54500,12,,1,
2018-04-28,21,54.7,40700,5,,1,
2018-05-03,21,54.7,39500,7,,1,
2018-05-11,21,54.7,38800,5,,1,
2018-05-15,21,54.7,39800,4,,1,
2018-05-31,38,106.62,54700,4,,1,
2018-06-06,30,79.87,52500,6,,1,
2018-06-16,30,79.87,50000,10,,1,
2018-06-18,21,54.7,40500,2,,1,
2018-07-02,21,54.7,41500,11,,1,
2018-07-06,38,106.62,56000,13,,1,
2018-07-13,21,54.7,40000,2,,1,
2018-07-16,30,79.87,51500,12,,1,
2018-07-31,21,54.7,40500,4,,1,
2018-08-06,21,54.7,43000,8,,1,
2018-08-11,38,106.62,58000,4,,1,
2018-08-18,38,106.62,59700,12,,1,
2018-08-20,30,79.87,53500,14,,1,
2018-08-21,21,54.7,42800,6,,1,
2018-08-21,30,79.87,52900,5,,1,
2018-08-23,21,54.7,40500,2,,1,
2018-08-23,30,79.87,53000,11,,1,
2018-08-31,38,106.62,60000,13,,1,
2018-10-19,30,79.87,62000,8,,1,
2019-03-02,30,79.87,61800,10,,1,
2019-07-29,21,54.7,53000,11,,1,
2019-09-04,21,54.7,51000,9,,1,
2019-09-26,21,54.7,51500,7,,1,
2019-10-29,21,54.7,50500,4,,1,
2019-12-09,30,79.87,59500,11,,1,
2019-12-23,38,106.62,70000,13,,1,
2019-12-24,21,54.7,51700,6,,1,
2020-01-03,21,54.7,31000,5,,0,이상거래(같은 반기 동일평형 대비 25% 이상 저가)
2020-01-04,30,79.87,64800,3,,1,
2020-01-09,21,54.7,49400,2,,1,
2020-01-18,30,79.87,59000,13,,1,
2020-01-19,38,106.62,68500,1,,1,
2020-01-20,30,79.87,68000,11,,1,
2020-01-22,30,79.87,60000,6,,1,
2020-02-19,30,79.87,58900,11,,1,
2020-02-21,30,79.87,67000,8,,1,
2020-02-22,30,79.87,58000,13,,1,
2020-03-13,21,54.7,52800,4,,1,
2020-03-14,30,79.87,63000,11,,1,
2020-03-14,30,79.87,66000,9,,1,
2020-04-08,30,79.87,62000,6,,1,
2020-04-10,30,79.87,64500,9,,1,
2020-05-31,21,54.7,52600,6,,1,
2020-06-01,38,106.62,75300,13,,1,
2020-06-03,30,79.87,67000,12,,1,
2020-06-07,30,79.87,64000,8,,1,
2020-06-15,30,79.87,61800,2,,1,
2020-06-16,21,54.7,54800,5,,1,
2020-06-16,30,79.87,63800,4,,1,
2020-06-19,38,106.62,77000,3,,1,
2020-06-20,21,54.7,51600,2,,1,
2020-06-30,21,54.7,58000,2,,1,
2020-06-30,21,54.7,56900,4,,1,
2020-07-04,30,79.87,66000,10,,1,
2020-07-11,30,79.87,69000,6,,1,
2020-07-24,21,54.7,55000,11,,1,
2020-07-25,30,79.87,71500,10,,1,
2020-07-30,21,54.7,64800,7,,1,
2020-09-01,30,79.87,66250,1,,1,
2020-09-01,30,79.87,66250,1,,1,
2020-09-07,30,79.87,73000,2,,1,
2020-11-10,21,54.7,65000,13,,1,
2020-11-14,30,79.87,73800,10,,1,
2020-11-21,30,79.87,76000,11,,1,
2020-12-19,30,79.87,80700,4,,1,
2020-12-23,21,54.7,68000,11,,1,
2020-12-28,21,54.7,69500,10,,1,
2021-01-21,30,79.87,73000,2,,1,
2021-01-29,21,54.7,63500,9,,1,
2021-02-01,21,54.7,66500,4,,1,
2021-02-02,30,79.87,79400,6,,1,
2021-02-28,21,54.7,64000,10,,1,
2021-03-13,21,54.7,68500,10,,1,
2021-03-15,38,106.62,98500,12,,1,
2021-03-26,30,79.87,86500,13,,1,
2021-04-20,21,54.7,69800,4,,1,
2021-06-12,21,54.7,74500,9,,1,
2021-06-19,30,79.87,86000,8,,1,
2021-10-07,21,54.7,73000,3,,1,
2022-04-25,30,79.87,89700,9,,1,
2023-02-27,21,54.7,60000,7,,1,
2023-03-17,21,54.7,68000,4,,1,
2023-07-28,21,54.7,65000,8,,1,
2023-09-16,21,54.7,62200,12,,1,
2023-09-21,21,54.7,60000,14,,1,
2023-09-26,30,79.87,75000,9,,1,
2023-11-25,21,54.7,58000,3,,1,
2023-12-02,30,79.87,70000,10,,1,
2023-12-08,30,79.87,69000,11,,1,
2024-02-27,21,54.7,67000,11,,1,
2024-03-23,21,54.7,57500,3,,1,
2024-03-30,21,54.7,59300,8,,1,
2024-04-27,21,54.7,62500,5,,1,
2024-05-04,30,79.87,70000,10,,1,
2024-08-21,21,54.7,64000,11,,1,
2024-08-26,30,79.87,71000,13,,1,
2024-09-19,21,54.7,67700,7,,1,
2024-10-03,21,54.7,65000,3,,1,
2024-10-09,30,79.87,72000,13,,1,
2024-10-10,30,79.87,74300,12,,1,
2025-01-18,30,79.87,71500,1,,1,
2025-01-24,30,79.87,69500,2,,1,
2025-02-26,30,79.87,72000,10,,1,
2025-03-08,30,79.87,74000,6,,1,
2025-03-17,30,79.87,76000,7,,1,
2025-04-21,21,54.7,64000,9,,1,
2025-05-10,21,54.7,64900,11,,1,
2025-05-23,38,106.62,90000,13,,1,
2025-05-31,30,79.87,73800,13,,1,
2025-06-06,30,79.87,72800,13,,1,
