date,kind,area,deposit,rent,floor,contract,renewal
2025-01-08,전세,59.9600,40000,0,9,신규,-
2025-02-03,전세,59.9700,40000,0,13,신규,-
2025-02-18,월세,74.5200,20000,60,1,신규,-
2025-02-22,월세,84.7700,10000,120,12,신규,-
2025-02-24,전세,84.7700,42000,0,8,신규,-
2025-02-25,전세,73.9800,42000,0,15,신규,-
2025-03-01,전세,84.7700,46000,0,10,신규,-
2025-03-03,전세,59.9700,40000,0,2,신규,-
2025-03-07,전세,59.9600,40000,0,10,신규,-
2025-04-08,전세,84.7700,60000,0,12,신규,-
2025-04-26,전세,84.7700,48000,0,13,신규,-
2025-04-26,전세,77.4900,37000,0,10,신규,-
2025-04-28,전세,59.9600,42000,0,12,신규,-
2025-04-28,전세,59.9600,42000,0,12,신규,-
2025-05-06,전세,59.9600,27000,0,1,신규,-
2025-05-06,월세,74.5200,30000,20,2,신규,-
2025-05-10,월세,84.7700,30000,30,9,신규,-
2025-05-17,전세,59.9700,42000,0,13,신규,-
2025-05-29,전세,84.7700,48000,0,12,신규,-
2025-05-31,월세,74.5200,33000,40,5,신규,-
2025-06-21,월세,59.9600,10000,115,10,신규,-
2025-07-11,전세,59.9700,39000,0,3,신규,-
2025-07-31,전세,59.9600,40000,0,14,신규,-
2025-08-05,전세,59.9600,37000,0,11,신규,-
2025-08-15,전세,59.9700,34700,0,7,신규,-
2025-08-20,전세,59.9600,40000,0,10,신규,-
2025-08-27,전세,59.9700,39000,0,5,신규,-
2025-09-13,월세,84.7700,40000,20,14,신규,-
2025-10-20,월세,59.9700,4000,160,3,신규,-
2025-11-04,전세,84.7700,48000,0,13,신규,-
2025-11-06,전세,84.7700,45200,0,7,신규,-
2025-11-21,전세,59.9700,40000,0,3,신규,-
2025-11-22,월세,84.7700,30000,50,9,신규,-
2025-12-10,전세,84.7700,46000,0,4,신규,-
2025-12-10,전세,84.7700,46000,0,4,신규,-
2026-01-03,전세,84.7700,43000,0,14,신규,-
2026-01-05,전세,84.7700,44000,0,3,신규,-
2026-01-10,전세,59.9700,40000,0,8,신규,-
2026-01-13,전세,77.4900,45000,0,8,신규,-
2026-01-17,전세,84.7700,40000,0,1,신규,-
2026-02-05,전세,84.7700,41000,0,5,신규,-
2026-02-06,월세,77.4900,3000,150,2,신규,-
2026-02-06,월세,77.4900,3000,150,2,신규,-
2026-02-14,전세,59.9600,38000,0,5,신규,-
2026-03-07,전세,84.7700,48000,0,6,신규,-
2026-03-08,전세,84.7700,45000,0,10,신규,-
2026-04-08,월세,59.9600,30000,50,5,신규,-
2026-04-09,전세,59.9700,29700,0,10,신규,-
2026-05-07,전세,84.7700,48000,0,10,신규,-
2026-07-09,전세,59.9700,44000,0,10,신규,-
2026-07-31,전세,84.7700,50000,0,8,신규,-
2026-08-05,전세,74.5200,45000,0,10,신규,-
2026-08-23,전세,84.7700,51000,0,2,신규,-
2026-09-02,전세,84.7700,52000,0,2,신규,-
