date,pyeong,area,price,floor,dong,include,note
2017-01-11,24,59.97,31000,8,,,
2017-01-20,28,77.49,36000,2,,,
2017-02-15,31,84.77,40500,3,,,
2017-02-15,24,59.97,32450,3,,,
2017-02-24,27,73.98,37000,6,,,
2017-02-28,27,73.98,37500,15,,,
2017-03-01,24,59.96,33000,12,,,
2017-03-04,24,59.96,33250,8,,,
2017-03-10,24,59.96,32000,6,,,
2017-03-17,27,73.98,32000,14,,,
2017-03-28,24,59.96,34350,12,,,
2017-04-11,24,59.97,32200,11,,,
2017-04-12,24,59.97,31500,2,,,
2017-04-20,27,74.52,38000,9,,,
2017-05-05,31,84.77,41800,2,,,
2017-05-08,24,59.97,31150,2,,,
2017-05-17,31,84.77,42400,2,,,
2017-05-20,24,59.97,31000,1,,,
2017-05-21,24,59.96,33500,9,,,
2017-05-25,31,84.77,40000,7,,,
2017-06-15,31,84.77,41300,12,,,
2017-07-24,28,77.49,35000,1,,,
2017-08-03,24,59.97,32500,2,,,
2017-08-12,24,59.96,34000,2,,,
2017-09-16,24,59.96,32500,2,,,
2017-09-20,24,59.96,33800,8,,,
2017-09-25,24,59.97,34900,9,,,
2017-10-17,27,74.52,39000,11,,,
2017-10-17,31,84.77,45800,6,,,
2017-10-18,24,59.96,33850,6,,,
2017-10-25,27,74.52,37000,10,,,
2017-10-25,27,74.52,39900,14,,,
2017-10-28,31,84.77,44000,15,,,
2017-11-24,24,59.96,34500,15,,,
2017-11-29,27,73.98,40500,12,,,
2017-12-03,27,74.52,37000,14,,,
2017-12-14,27,74.52,38700,5,,,
2018-01-23,24,59.96,34900,3,,,
2018-01-26,24,59.96,34500,15,,,
2018-02-05,27,73.98,41250,2,,,
2018-02-14,31,84.77,45700,12,,,
2018-02-24,24,59.96,34500,14,,,
2018-02-28,31,84.77,46500,14,,,
2018-03-01,31,84.77,46000,8,,,
2018-03-06,24,59.96,36000,5,,,
2018-03-10,27,74.52,40800,3,,,
2018-03-10,31,84.77,45000,9,,,
2018-04-03,31,84.77,49000,9,,,
2018-04-07,24,59.96,35500,12,,,
2018-04-12,31,84.77,42450,1,,,
2018-05-17,31,84.77,47300,3,,,
2018-07-02,31,84.77,47800,15,,,
2018-08-14,31,84.77,50200,12,,,
2018-08-18,24,59.97,36500,4,,,
2018-08-25,31,84.77,50000,3,,,
2018-09-02,24,59.97,40000,1,,,
2018-10-12,27,73.98,53000,5,,,
2018-10-13,31,84.77,56500,13,,,
2018-12-29,31,84.77,55000,3,,,
2019-02-13,31,84.77,50000,12,,,
2019-03-30,31,84.77,54000,13,,,
2019-05-06,27,73.98,51000,6,,,
2019-05-11,27,74.52,49900,14,,,
2019-05-17,27,73.98,54000,12,,,
2019-05-20,24,59.96,42500,6,,,
2019-06-11,24,59.97,42000,5,,,
2019-06-12,24,59.96,44750,4,,,
2019-07-05,24,59.96,43000,8,,,
2019-07-20,24,59.96,44500,10,,,
2019-07-27,27,73.98,53000,5,,,
2019-08-07,27,73.98,55000,8,,,
2019-08-08,27,74.52,51700,10,,,
2019-08-22,27,74.52,52500,13,,,
2019-09-04,24,59.96,44900,13,,,
2019-09-17,31,84.77,60000,9,,,
2019-09-20,31,84.77,57400,12,,,
2019-09-24,27,73.98,54500,10,,,
2019-10-05,24,59.96,46600,9,,,
2019-10-12,24,59.97,46000,7,,,
2019-10-19,31,84.77,59300,6,,,
2019-11-06,28,77.49,50500,1,,,
2019-11-09,24,59.96,45400,5,,,
2019-11-16,24,59.97,44000,3,,,
2019-11-21,27,74.52,52500,13,,,
2019-12-01,31,84.77,60000,15,,,
2019-12-21,27,73.98,59000,15,,,
2020-01-07,31,84.77,52000,4,,,
2020-01-13,24,59.97,48700,13,,,
2020-01-28,24,59.97,48000,11,,,
2020-02-07,27,73.98,60000,4,,,
2020-02-17,27,73.98,59200,14,,,
2020-02-25,24,59.96,49300,3,,,
2020-03-09,31,84.77,65500,12,,,
2020-03-23,24,59.96,51500,6,,,
2020-03-23,31,84.77,62800,4,,,
2020-04-04,27,73.98,59300,2,,,
2020-04-27,31,84.77,65500,9,,,
2020-05-06,24,59.96,52000,9,,,
2020-06-10,24,59.97,54700,3,,,
2020-06-10,31,84.77,66000,7,,,
2020-06-18,24,59.96,54000,13,,,
2020-06-25,28,77.49,62000,11,,,
2020-06-29,31,84.77,70000,8,,,
2020-07-18,27,74.52,63500,9,,,
2020-07-28,31,84.77,69900,6,,,
2020-08-13,31,84.77,69700,6,,,
2020-08-18,24,59.97,63000,4,,,
2020-08-19,31,84.77,70000,5,,,
2020-08-20,31,84.77,69000,3,,,
2020-08-20,24,59.97,59400,2,,,
2020-09-14,27,74.52,62500,5,,,
2020-10-18,31,84.77,69500,2,,,
2020-10-24,27,73.98,70900,8,,,
2020-10-26,24,59.96,62000,15,,,
2020-11-08,31,84.77,72500,9,,,
2020-11-13,27,74.52,68800,3,,,
2020-11-16,31,84.77,68900,1,,,
2020-11-30,31,84.77,74500,14,,,
2020-12-23,31,84.77,75800,7,,,
2020-12-25,24,59.96,62000,11,,,
2021-02-21,28,77.49,71000,12,,,
2021-02-21,28,77.49,71000,12,,,
2021-02-24,31,84.77,82700,8,,,
