date,kind,area,deposit,rent,floor,contract,renewal
2025-01-10,월세,133.9100,120000,1040,32,신규,-
2025-01-13,월세,116.9200,70000,920,13,신규,-
2025-01-15,전세,133.9100,400000,0,11,신규,-
2025-01-20,전세,101.9700,255000,0,17,신규,-
2025-01-27,전세,59.9600,160000,0,12,신규,-
2025-02-03,전세,116.9500,160000,0,24,신규,-
2025-02-08,월세,59.9600,20000,600,26,신규,-
2025-02-11,월세,116.9200,70000,920,13,신규,-
2025-02-11,월세,116.9200,62000,940,13,신규,-
2025-02-11,월세,116.9200,62000,940,13,신규,-
2025-02-14,월세,84.9500,190000,200,30,신규,-
2025-02-14,월세,84.9500,120000,520,29,신규,-
2025-02-19,전세,74.9200,200000,0,10,신규,-
2025-02-19,전세,101.9700,270000,0,21,신규,-
2025-02-22,월세,84.9300,20000,800,5,신규,-
2025-02-22,월세,101.9600,100000,690,7,신규,-
2025-02-24,전세,84.9800,210000,0,15,신규,-
2025-02-24,전세,84.9800,210000,0,15,신규,-
2025-02-25,전세,84.9800,225000,0,14,신규,-
2025-02-28,전세,101.9400,250000,0,9,신규,-
2025-03-05,월세,84.9900,120000,390,13,신규,-
2025-03-05,월세,84.9900,120000,390,13,신규,-
2025-03-05,전세,116.9300,430000,0,34,신규,-
2025-03-07,월세,116.9300,120000,840,25,신규,-
2025-03-12,전세,59.9600,149000,0,1,신규,-
2025-03-13,전세,84.9700,240000,0,27,신규,-
2025-03-17,월세,116.9300,100000,800,9,신규,-
2025-03-21,전세,74.9200,190000,0,5,신규,-
2025-03-24,전세,234.8600,670000,0,35,신규,-
2025-03-24,전세,133.9100,380000,0,20,신규,-
2025-03-24,전세,84.9500,230000,0,4,신규,-
2025-03-25,전세,133.9100,380000,0,20,신규,-
2025-04-01,전세,133.9100,380000,0,15,신규,-
2025-04-01,월세,59.9600,38640,17,2,신규,-
2025-04-07,전세,84.9500,240000,0,16,신규,-
2025-04-11,월세,59.9600,5000,620,22,신규,-
2025-04-18,전세,84.9600,225000,0,23,신규,-
2025-04-19,월세,84.9800,160000,160,24,신규,-
2025-04-19,월세,84.9800,160000,160,24,신규,-
2025-04-28,전세,59.9600,158000,0,24,신규,-
2025-04-29,월세,59.9600,65100,160,33,신규,-
2025-05-03,월세,84.9600,70000,530,2,신규,-
2025-05-03,전세,74.9700,190000,0,13,신규,-
2025-05-09,월세,84.9500,80000,600,17,신규,-
2025-05-16,월세,59.9600,10000,600,31,신규,-
2025-05-19,전세,101.9900,168000,0,13,신규,-
2025-05-23,전세,116.9500,290000,0,4,신규,-
2025-05-23,전세,116.9500,290000,0,4,신규,-
2025-05-23,전세,116.9500,250000,0,4,신규,-
2025-05-23,전세,116.9500,290000,0,4,신규,-
2025-05-23,전세,116.9500,290000,0,4,신규,-
2025-05-24,월세,116.9500,180000,500,1,신규,-
2025-05-26,전세,74.9200,180000,0,3,신규,-
2025-05-27,전세,74.9700,110000,0,10,신규,-
2025-05-27,월세,74.9200,30000,650,23,신규,-
2025-05-27,월세,74.9200,30000,650,23,신규,-
2025-05-27,전세,116.9200,397000,0,17,신규,-
2025-05-28,월세,101.9900,160000,400,13,신규,-
2025-05-29,월세,84.9500,50000,720,27,신규,-
2025-05-30,월세,74.9700,80000,400,8,신규,-
2025-06-01,전세,59.9600,150000,0,4,신규,-
2025-06-02,월세,46.9300,25160,35,11,신규,-
2025-06-05,월세,84.9800,30000,740,2,신규,-
2025-06-11,전세,59.9600,160000,0,29,신규,-
2025-06-13,전세,59.9600,160000,0,13,신규,-
